disease_id,name,ontology_id,therapeutic_area
disease_alzheimer_s_disease,Alzheimer's disease,MONDO:0004975,neurology/neurodegeneration
disease_diabetes_mellitus,Diabetes mellitus,,metabolic
disease_down_syndrome,Down syndrome,,other/unspecified
disease_huntington_s_disease,Huntington's disease,MONDO:0007739,neurology/neurodegeneration
disease_motor_neuron_disease,Motor neuron disease,MONDO:0005027,neurology/neurodegeneration
disease_neurodegenerative_disease,Neurodegenerative disease,,neurology/neurodegeneration
disease_parkinson_s_disease,Parkinson's disease,MONDO:0005180,neurology/neurodegeneration
disease_prion_infection,Prion infection,,neurology/neurodegeneration
disease_acute_leukemia,Acute leukemia,,oncology
disease_bladder_cancer,Bladder cancer,MONDO:0004987,oncology
disease_breast_cancer,Breast cancer,MONDO:0007254,oncology
disease_cancer,Cancer,MONDO:0004992,oncology
disease_glioblastoma,Glioblastoma,MONDO:0018177,oncology
disease_liver_fibrosis,Liver fibrosis,,other/unspecified
disease_lymphoma,Lymphoma,,oncology
disease_multiple_sclerosis,Multiple sclerosis,MONDO:0005301,neurology/neurodegeneration
disease_attention_deficit_hyperactivity_disorder,Attention deficit hyperactivity disorder,,other/unspecified
disease_brain_disease,Brain disease,,other/unspecified
disease_cognitive_disorder,Cognitive disorder,,other/unspecified
disease_dystonia,Dystonia,,other/unspecified
disease_movement_disorder,Movement disorder,,other/unspecified
disease_schizophrenia,Schizophrenia,MONDO:0005090,psychiatry/CNS
disease_tourette_syndrome,Tourette syndrome,,other/unspecified
disease_brain_tumor,Brain tumor,,oncology
disease_colon_tumor,Colon tumor,,oncology
disease_multiple_myeloma,Multiple myeloma,,oncology
disease_pancreas_tumor,Pancreas tumor,,oncology
disease_rectal_tumor,Rectal tumor,,oncology
disease_skin_cancer,Skin cancer,,oncology
disease_stomach_tumor,Stomach tumor,,oncology
disease_dementia,Dementia,MONDO:0001627,neurology/neurodegeneration
disease_psychiatric_disorder,Psychiatric disorder,,psychiatry/CNS
disease_psychotic_disorder,Psychotic disorder,,psychiatry/CNS
disease_crohn_s_disease,Crohn's disease,MONDO:0005011,inflammation/autoimmune
disease_hyperglycemia,Hyperglycemia,,metabolic
disease_hypertension,Hypertension,,other/unspecified
disease_type_1_diabetes_mellitus,Type 1 diabetes mellitus,MONDO:0005147,metabolic
disease_type_2_diabetes_mellitus,Type 2 diabetes mellitus,MONDO:0005148,metabolic
disease_obesity,Obesity,MONDO:0011122,metabolic
disease_polycystic_ovary_syndrome,Polycystic ovary syndrome,,other/unspecified
disease_stroke,Stroke,MONDO:0005265,neurology/neurodegeneration
disease_traumatic_brain_injury,Traumatic brain injury,MONDO:0010579,neurology/neurodegeneration
disease_cytomegalovirus_infection,Cytomegalovirus infection,,other/unspecified
disease_influenza_virus_a_infection,Influenza virus A infection,,other/unspecified
disease_osteoarthritis,Osteoarthritis,,inflammation/autoimmune
disease_viral_infection,Viral infection,,other/unspecified
disease_atherosclerosis,Atherosclerosis,,other/unspecified
disease_bone_tumor,Bone tumor,,oncology
disease_hodgkins_disease,Hodgkins disease,,other/unspecified
disease_lupus_nephritis,Lupus nephritis,,inflammation/autoimmune
disease_sjoegrens_syndrome,Sjoegrens syndrome,,other/unspecified
disease_systemic_lupus_erythematosus,Systemic lupus erythematosus,MONDO:0007915,inflammation/autoimmune
disease_adrenoleukodystrophy,Adrenoleukodystrophy,,other/unspecified
disease_alexander_disease,Alexander disease,,other/unspecified
disease_canavan_disease,Canavan disease,,other/unspecified
disease_globoid_cell_leukodystrophy,Globoid cell leukodystrophy,,other/unspecified
disease_leukodystrophy,Leukodystrophy,,other/unspecified
disease_nerve_injury,Nerve injury,,other/unspecified
disease_spinal_cord_injury,Spinal cord injury,,other/unspecified
disease_autoimmune_disease,Autoimmune disease,,inflammation/autoimmune
disease_autoimmune_encephalomyelitis,Autoimmune encephalomyelitis,,inflammation/autoimmune
disease_inflammatory_bowel_disease,Inflammatory bowel disease,MONDO:0005265,inflammation/autoimmune
disease_injury,Injury,,other/unspecified
disease_ischemia,Ischemia,,other/unspecified
disease_mitochondrial_optic_neuropathy,Mitochondrial optic neuropathy,,other/unspecified
disease_neurological_disease,Neurological disease,,other/unspecified
disease_anxiety_disorder,Anxiety disorder,MONDO:0005618,psychiatry/CNS
disease_autism,Autism,,psychiatry/CNS
disease_bipolar_disorder,Bipolar disorder,,psychiatry/CNS
disease_central_nervous_system_disease,Central nervous system disease,,other/unspecified
disease_depression,Depression,MONDO:0002050,psychiatry/CNS
disease_fibromyalgia,Fibromyalgia,,other/unspecified
disease_pain,Pain,,other/unspecified
disease_sleep_disorder,Sleep disorder,,other/unspecified
disease_gaucher_disease,Gaucher disease,,other/unspecified
disease_hepatocellular_carcinoma,Hepatocellular carcinoma,,oncology
disease_liver_disease,Liver disease,,other/unspecified
disease_lysosome_storage_disease,Lysosome storage disease,,other/unspecified
disease_non-alcoholic_steatohepatitis,Non-alcoholic steatohepatitis,,metabolic
disease_asthma,Asthma,,inflammation/autoimmune
disease_mycobacterium_tuberculosis_infection,Mycobacterium tuberculosis infection,,other/unspecified
disease_myocardial_infarction,Myocardial infarction,,other/unspecified
disease_psoriasis,Psoriasis,,inflammation/autoimmune
disease_sepsis,Sepsis,,inflammation/autoimmune
disease_inflammatory_disease,Inflammatory disease,,inflammation/autoimmune
disease_neuropathic_pain,Neuropathic pain,,other/unspecified
disease_primary_lateral_sclerosis,Primary lateral sclerosis,,other/unspecified
disease_progressive_supranuclear_palsy,Progressive supranuclear palsy,,other/unspecified
disease_sarcopenia,Sarcopenia,,other/unspecified
disease_frontotemporal_dementia,Frontotemporal dementia,MONDO:0000930,neurology/neurodegeneration
disease_rheumatoid_arthritis,Rheumatoid arthritis,MONDO:0008383,inflammation/autoimmune
disease_drug_dependence,Drug dependence,,other/unspecified
disease_headache,Headache,,other/unspecified
disease_mood_disorder,Mood disorder,,psychiatry/CNS
disease_neuritis,Neuritis,,other/unspecified
disease_cushings_syndrome,Cushings syndrome,,other/unspecified
disease_glaucoma,Glaucoma,,other/unspecified
disease_constipation,Constipation,,other/unspecified
disease_fragile_x_syndrome,Fragile X syndrome,,other/unspecified
disease_fragile_x-associated_tremor_ataxia_syndrome,Fragile X-associated tremor ataxia syndrome,,other/unspecified
disease_respiratory_failure,Respiratory failure,,other/unspecified
disease_subcortical_vascular_dementia,Subcortical vascular dementia,,neurology/neurodegeneration
disease_kaposis_sarcoma,Kaposis sarcoma,,other/unspecified
disease_multiple_system_atrophy,Multiple system atrophy,,other/unspecified
disease_restenosis,Restenosis,,other/unspecified
disease_influenza_virus_infection,Influenza virus infection,,other/unspecified
disease_mycobacterium_infection,Mycobacterium infection,,other/unspecified
disease_allergy,Allergy,,other/unspecified
disease_gastrointestinal_infection,Gastrointestinal infection,,other/unspecified
disease_atrophy,Atrophy,,other/unspecified
disease_cerebral_palsy,Cerebral palsy,,other/unspecified
disease_guillain_barre_syndrome,Guillain Barre syndrome,,other/unspecified
disease_lebers_hereditary_optic_atrophy,Lebers hereditary optic atrophy,,other/unspecified
disease_pelizaeus_merzbacher_disease,Pelizaeus Merzbacher disease,,other/unspecified
disease_olivopontocerebellar_atrophy,Olivopontocerebellar atrophy,,other/unspecified
disease_rett_syndrome,Rett syndrome,,other/unspecified
disease_shy_drager_syndrome,Shy Drager syndrome,,other/unspecified
disease_spinocerebellar_ataxia,Spinocerebellar ataxia,,other/unspecified
disease_eating_disorder,Eating disorder,,other/unspecified
disease_personality_disorder,Personality disorder,,other/unspecified
disease_major_depressive_disorder,Major depressive disorder,MONDO:0002009,other/unspecified
disease_phelan_mcdermid_syndrome,Phelan McDermid syndrome,,other/unspecified
disease_cerebral_amyloid_angiopathy,Cerebral amyloid angiopathy,,other/unspecified
disease_acute_lymphoblastic_leukemia,Acute lymphoblastic leukemia,,oncology
disease_acute_myelogenous_leukemia,Acute myelogenous leukemia,,oncology
disease_atopic_dermatitis,Atopic dermatitis,,other/unspecified
disease_chronic_lymphocytic_leukemia,Chronic lymphocytic leukemia,,oncology
disease_chronic_obstructive_pulmonary_disease,Chronic obstructive pulmonary disease,,other/unspecified
disease_lung_inflammation,Lung inflammation,,other/unspecified
disease_epilepsy,Epilepsy,,other/unspecified
disease_restless_legs_syndrome,Restless legs syndrome,,other/unspecified
disease_age_related_macular_degeneration,Age related macular degeneration,,other/unspecified
disease_diabetic_macular_edema,Diabetic macular edema,,other/unspecified
disease_prostate_disease,Prostate disease,,other/unspecified
disease_cardiac_failure,Cardiac failure,,other/unspecified
disease_fatty_liver_disease,Fatty liver disease,,other/unspecified
disease_fibrosis,Fibrosis,,other/unspecified
disease_hypercholesterolemia,Hypercholesterolemia,,other/unspecified
disease_hyperlipidemia,Hyperlipidemia,,other/unspecified
disease_metabolic_disorder,Metabolic disorder,,metabolic
disease_bipolar_i_disorder,Bipolar I disorder,,psychiatry/CNS
disease_metachromatic_leukodystrophy,Metachromatic leukodystrophy,,other/unspecified
disease_bronchitis,Bronchitis,,other/unspecified
disease_pancreatitis,Pancreatitis,,other/unspecified
disease_post_traumatic_stress_disorder,Post traumatic stress disorder,,other/unspecified
disease_vascular_dementia,Vascular dementia,,neurology/neurodegeneration
disease_neuronal_ceroid_lipofuscinosis,Neuronal ceroid lipofuscinosis,,other/unspecified
disease_peripheral_neuropathy,Peripheral neuropathy,,other/unspecified
disease_tuberous_sclerosis,Tuberous sclerosis,,other/unspecified
disease_cerebrovascular_disease,Cerebrovascular disease,,other/unspecified
disease_spinocerebellar_degenerations,Spinocerebellar degenerations,,other/unspecified
disease_respiratory_tract_inflammation,Respiratory tract inflammation,,other/unspecified
disease_bacterial_infection,Bacterial infection,,other/unspecified
disease_cryopyrin_associated_periodic_syndrome,Cryopyrin associated periodic syndrome,,other/unspecified
disease_gout,Gout,,other/unspecified
disease_non_alcoholic_fatty_liver_disease,Non alcoholic fatty liver disease,,other/unspecified
disease_peritonitis,Peritonitis,,other/unspecified
disease_cardiovascular_disease,Cardiovascular disease,,other/unspecified
disease_cerebral_infarction,Cerebral infarction,,other/unspecified
disease_steatohepatitis,Steatohepatitis,,metabolic
disease_brugada_syndrome,Brugada syndrome,,other/unspecified
disease_amnesia,Amnesia,,other/unspecified
disease_brain_ischemia,Brain ischemia,,other/unspecified
disease_cranial_nerve_disorder,Cranial nerve disorder,,other/unspecified
disease_chronic_thromboembolic_pulmonary_hypertension,Chronic thromboembolic pulmonary hypertension,,other/unspecified
disease_decubitus_ulcer,Decubitus ulcer,,other/unspecified
