mechanism_id,name,action_type,target_id
mechanism_snca_modulator,alpha-synuclein modulator,modulator,target_snca
mechanism_superoxide_dismutase_stimulator,Superoxide dismutase stimulator,stimulator,target_superoxide_dismutase
mechanism_app_aβ_modulator,Amyloid beta / APP pathway modulator,modulator,target_app_aβ
mechanism_mapt_protein_modulator_modulator,Tau protein protein modulator;modulator,protein modulator;modulator,target_mapt
mechanism_huntingtin_modulator,Huntingtin modulator,modulator,target_huntingtin
mechanism_nt5e_antagonist_agonist,CD73 / NT5E antagonist;agonist,antagonist;agonist,target_nt5e
mechanism_muscarinic_m4_receptor_antagonist_antagonist_agonist,Muscarinic M4 receptor antagonist;antagonist;agonist,receptor antagonist;antagonist;agonist,target_muscarinic_m4
mechanism_epha4_stimulator,EPHA4 stimulator,stimulator,target_epha4
mechanism_htr2c_modulator,5-HT2C receptor modulator,modulator,target_htr2c
mechanism_htr2a_modulator,5-HT2A receptor modulator,modulator,target_htr2a
mechanism_glp1r_receptor_agonist_agonist,GLP-1 receptor receptor agonist;agonist,receptor agonist;agonist,target_glp1r
mechanism_insulin_receptor_agonist_agonist,Insulin receptor agonist;agonist,receptor agonist;agonist,target_insulin
mechanism_clk4_protein_kinase_inhibitor_kinase_inhibitor_inhibitor,CLK4 protein kinase inhibitor;kinase inhibitor;inhibitor,protein kinase inhibitor;kinase inhibitor;inhibitor,target_clk4
mechanism_clk1_protein_kinase_inhibitor_kinase_inhibitor_inhibitor,CLK1 protein kinase inhibitor;kinase inhibitor;inhibitor,protein kinase inhibitor;kinase inhibitor;inhibitor,target_clk1
mechanism_dyrk1a_protein_kinase_inhibitor_kinase_inhibitor_inhibitor,DYRK1A protein kinase inhibitor;kinase inhibitor;inhibitor,protein kinase inhibitor;kinase inhibitor;inhibitor,target_dyrk1a
mechanism_drebrin_modulator,Drebrin modulator,modulator,target_drebrin
mechanism_bcl2_inhibitor,BCL2 inhibitor,inhibitor,target_bcl2
mechanism_flt3_tyrosine_kinase_inhibitor_inhibitor,Flt3 tyrosine kinase inhibitor;inhibitor,kinase inhibitor;inhibitor,target_flt3_tyrosine
mechanism_leukotriene_d4_antagonist_agonist,Leukotriene D4 antagonist;agonist,antagonist;agonist,target_leukotriene_d4
mechanism_kit_tyrosine_kinase_inhibitor_inhibitor,Kit tyrosine kinase inhibitor;inhibitor,kinase inhibitor;inhibitor,target_kit_tyrosine
mechanism_sl_cytokine_ligand_inhibitor_inhibitor,SL cytokine ligand inhibitor;inhibitor,ligand inhibitor;inhibitor,target_sl_cytokine
mechanism_csf1r_antagonist_agonist,CSF1R antagonist;agonist,antagonist;agonist,target_csf1r
mechanism_gpr17_gene_modulator_modulator,GPR17 gene modulator;modulator,gene modulator;modulator,target_gpr17
mechanism_ntrk2_receptor_agonist_agonist,TrkB / NTRK2 receptor agonist;agonist,receptor agonist;agonist,target_ntrk2
mechanism_kdm5b_inhibitor,KDM5B inhibitor,inhibitor,target_kdm5b
mechanism_gpr139_agonist,GPR139 agonist,agonist,target_gpr139
mechanism_gba2_inhibitor,GBA2 inhibitor,inhibitor,target_gba2
mechanism_tnf_ligand_inhibitor_inhibitor,TNF ligand inhibitor;inhibitor,ligand inhibitor;inhibitor,target_tnf
mechanism_tlr9_antagonist_agonist,TLR9 antagonist;agonist,antagonist;agonist,target_tlr9
mechanism_tlr7_antagonist_agonist,TLR7 antagonist;agonist,antagonist;agonist,target_tlr7
mechanism_trem2_antagonist_agonist,TREM2 antagonist;agonist,antagonist;agonist,target_trem2
mechanism_htr2b_receptor_antagonist_antagonist_agonist,HTR2B receptor antagonist;antagonist;agonist,receptor antagonist;antagonist;agonist,target_htr2b
mechanism_opioid_receptor_sigma_1_antagonist_agonist,Opioid receptor sigma 1 antagonist;agonist,antagonist;agonist,target_opioid_receptor_sigma_1
mechanism_htr2a_receptor_antagonist_antagonist_agonist,5-HT2A receptor receptor antagonist;antagonist;agonist,receptor antagonist;antagonist;agonist,target_htr2a
mechanism_htr1b_receptor_antagonist_antagonist_agonist,HTR1B receptor antagonist;antagonist;agonist,receptor antagonist;antagonist;agonist,target_htr1b
mechanism_glucocorticoid_receptor_antagonist_antagonist_agonist,Glucocorticoid receptor antagonist;antagonist;agonist,receptor antagonist;antagonist;agonist,target_glucocorticoid
mechanism_maxi_k_potassium_channel_stimulator,Maxi K potassium channel stimulator,stimulator,target_maxi_k_potassium_channel
mechanism_amyloid_protein_deposition_inhibitor_inhibitor,Amyloid protein deposition inhibitor;inhibitor,deposition inhibitor;inhibitor,target_amyloid_protein
mechanism_bace1_inhibitor,BACE1 inhibitor,inhibitor,target_bace1
mechanism_ache_bche_inhibitor,ACHE/BCHE inhibitor,inhibitor,target_ache_bche
