patent_number,title,enhanced_title,novelty,advantage,biology,examples,chemistry,first_publication_date,first_priority_number,first_priority_date,last_change_date,application_number,application_date
US-20210349077,Method of quantifying induced membrane permeability and of screening compounds able to prevent said permeability,Method of quantifying induced changes of membrane permeability to various substances by detecting membrane channels made by misfolding peptides - useful in treatment of neurodegenerative diseases.,"A method of quantifying induced changes of membrane permeability to various substances comprising the use of preparations of liposomes containing enclosed fluorescent probes which are measured by flow cytometry, is claimed, wherein the effect of treatments (chemical entities, biologically active molecules, and/or physical conditions) on peptide-induced changes of membrane permeability is estimated. It is claimed that chemical entities are intended to treat neurodegenerative diseases (including Alzheimer's disease, Parkinson's disease, Lou Gehrig's disease (amyotrophic lateral sclerosis), Huntington's disease, diabetes, diseases caused by prions, Down syndrome).",The method allows high-throughput testing of peptides.,"Experiments were conducted to measure effectiveness of various peptides to permeabilize membranes to calcium. After short incubation, calcium is added, and the mixture is analyzed on flow cytometer. Calcium ionophore ionomycin is used as a positive control, and a vehicle for peptide serves as a negative control. Results showed that unilamellar liposomes have the lowest ratio. In identified liposomes, the concentration of calcium is estimated. Liposomes without channels have low calcium, and corresponding low fluorescent signal of Fluo-4. Liposomes with channels have high calcium and intense fluorescence of Fluo-4. Also ratio of the number of liposomes with channels to total number of liposomes (or to the number of liposomes without channels) is the endpoint of test. Peptides which statistically significantly increase the ratio of permeabilized liposomes are considered channel-forming (example 1; page 23; figures 10-12).",Method for creation of antibodies selectively affecting channels is described (example 5; page 24).,Sequences provided in source document.,2021-11-11,US2020704459,2020-05-11,2021-11-22,,
WO-2021216898,Compounds and methods for CD73 modulation and indications therefor,New organic compounds are for CD73 modulators - useful for treating neurodegenerative disorders.,"New organic compounds or derivatives, their salts, their compositions comprising them, process for their preparation and their use as modulators of CD73 for treating neurodegenerative disorders are claimed. Also claimed is a method for treating a subject with a disease or condition mediated by CD73 (cancer, liver fibrosis, Alzheimer's disease, multiple sclerosis, or Parkinson's disease, leukemia, lymphoma, breast cancer and bladder cancers) by administering an effective amount of a compound or its salt, a tautomer, a stereoisomer, or a deuterated analog or its composition.",The compounds are potent CD73 modulators.,"An in vitro test was conducted in CD73 in cell-based assay, to determine the cytotoxicity of (I). (I) showed an IC50 value of 0.001uM against CD73 and CHO-K1 cell variant : CD73 (page 167, table 2).",,"Several compounds including butyl (R)-(1-(5-chloro-6-oxo-1,6-dihydropyridazin-4-yl)pyrrolidin-3-yl)carbamate (P-0001) (structure drawn from patent not from name) (page 135, table 1) are exemplified. No compounds are specifically claimed. A Markush structure is presented (claim 1, page 177).",2021-10-28,US202014523,2020-04-23,2021-11-15,,
WO-2021216951,Condensed substituted hydropyrroles as antagonists of the muscarinic acetylcholine receptor M4,New substituted octahydrocyclopenta[c]pyrrole compounds are antagonists of the muscarinic acetylcholine receptor M4 - useful for treating neurodegenerative disorders.,"New substituted octahydrocyclopenta[c]pyrrole compounds, their salts, their compositions comprising them, process for their preparation and their use as antagonists of the muscarinic acetylcholine receptor M4 (mAChR M4) for treating neurodegenerative disorders such as Parkinson's disease, dystonia, Tourette's syndrome, dyskinesias, schizophrenia, cognitive deficits associated with schizophrenia, excessive daytime sleepiness, attention deficit hyperactivity disorder (ADHD) and cerebral palsy; and motor symptoms, are claimed.","The compounds are potent mAChR M4 antagonists, with less adverse events.","An in vitro test was conducted in mAChR M4 cell-based assay to determine the cytotoxicity of (I). (I) showed an IC 50 value of 0.87nM against human M4 (page 143, table 2)",,"Several compounds including (3aR,5s,6aS)-N-(6-(2-methyl-2H-indazol-5-yl)-5-(trifluoromethyl)pyridazin-3-yl)-2-((tetrahydro-2H-pyran-4-yl)methyl)octahydrocyclopenta[c]pyrrol-5-amine (cmpd 4, table 1, page 93; claim 38, page 155) are specifically claimed. A Markush structure is presented (claim 1, page 148).",2021-10-28,US202015306,2020-04-24,2021-11-22,,
WO-2021217047,EphA4 Targeting compounds and methods of use thereof,"New peptide derivatives are EphA4 modulators - useful for treating amyotrophic lateral sclerosis, Alzheimer's and cancer.","New peptide derivatives are EphA4 modulators, or its salts and a composition comprising them and a pharmaceutically acceptable carrier, useful for activating EphA4 in a motor neuron and treating cancer eg gastric, breast, pancreati, brain, rectal, colon, urothelial, skin cancer and multiple myeloma, and neurodegenerative disease eg amyotrophic lateral sclerosis, Alzheimer's disease or Parkinson's disease.",The compounds are potent agonistic agent targeting EphA4.,"An in vitro study was performed to indirect measure the agonism by EphA4 ligands by monitoring the phosphorylation of its cytosolic kinase domain upon ligand binding. The results showed that most agents induced receptor phosphorylation, with (I) resulting more significantly active than others. The graphical results showed that (I) showed a ratio pEphA4 to EphA4 of P=2 (page 99-100, figure 9C,D).",,"Several compounds including compound 8 (named 150D4; table 8, page 96, claim 29, page 125) are specifically claimed. A Markush structure is presented (claim 1, page 117).",2021-10-28,US202014551,2020-04-23,2021-11-17,,
WO-2021218863,"1,5-Dihydro-2,4-benzodiazepine-3-one derivative and application thereof","New 1,5-dihydro-2,4-benzodiazepine-3-one derivatives are 5-HT 2A and 5-HT 2C receptor modulators - useful for treating mental diseases.","New 1,5-dihydro-2,4-benzodiazepine-3-one derivatives are claimed, along with compositions comprising them, and their use in the preparation of drugs for the treatment of mental diseases such as schizophrenia, psychosis, Parkinson's disease, and behavior disorder related to dementia. The compounds are stated to act on 5-HT 2A and 5-HT 2C receptors.","The compounds have superior or similar selectivity for 5-HT2A and better antipsychotic activity, while causing lower incidence of side effects such as sedation, deterioration in exercise capacity and cardiotoxicity, compared to pimavanserin.","An in vivo test was performed to evaluate the effect of test compounds on head shaking behavior induced by (±)-1-(2,5-dimethoxy-4-iodophenyl)-2-aminopropane hydrochloride in mouse.The results showed that the test compounds including (I) (represented as NH-K-A19006), NH-K-A19001, NH-K-A19005 and NH-K-A19012 exhibited ED50 values of 0.012, 0.06, 0.15 and 0.30 mg/kg, respectively, whereas pimavanserin showed the value of 0.39 mg/kg, indicating better anti-psychiatric effect of the test compounds over pimavanserin. Also, (I) vs pimoserin showed ED50 values of 0.2648 vs 3.288 mg/kg in mice with MK-801-induced hyperactive behavior (example 23, pages 48-49; tables 3 and 4).",,"Several compounds including 8-fluoro-2-(1-methylpiperidin-4-yl)-4-{[4-(cyclopropoxy)phenyl]methyl}-1,5-dihydro-2,4-benzodiazepine-3-one (I) (A19006, example 6, page 31; claim 10, page 58) are specifically claimed. A Markush structure is presented (claim 1, page 53).",2021-11-04,CN202010330893,2020-04-26,2021-11-16,,
WO-2021219019,Heterocyclic GLP-1 agonists,New heterocyclic compounds are GLP-1 agonists - useful for treating type 2 diabetes.,"New heterocyclic compounds, their salts and/or solvates, compositions and combinations comprising them and methods for modulating insulin levels, modulating glucose levels and for treating a GLP-1 associated diseases, eg type 1 and 2 diabetes, obesity, hypertension, stroke, Alzheimer's disease, traumatic brain injury, hyperglycemia, Crohn's disease, and polycystic ovary syndrome using the compounds are claimed. A method for treating type 2 diabetes mellitus by performing an assay to determine the level of an analyte (eg HbA1c, fasting plasma glucose and/or non-fasting plasma glucose) in a sample, and administering the compounds preferably in 40-70 years old patients who are overweight or obese, is also claimed. The compounds are disclosed to be GLP-1 agonists.",No specific advantage is given.,"In In vivo non-human primate studies for evaluating the efficacy and PK profile of test compounds, the test compounds (i) enhanced oral bioavailability compared to reference compound, and (ii) significantly enhanced glucose clearance and induced robust insulin secretion in cynomolgus monkey; however, no resultant data are provided for any specific compound. Further, in an in vitro cAMP assay using HEK293/CRE-Luc cell line stably expressing GLP-1 receptor, 10 compounds including (I) exhibited EC50 values of ?0.2 nM (examples A-C, pages 183-189; table 1).",,"Several compounds including 2-((4-(3-(4-chloro-2-fluorophenyl)-2,3-dihydrobenzo[b][1,4]dioxin-5-yl)piperidin-1-yl)methyl)-3-(((S)-oxetan-2-yl)methyl)-3H-imidazo[4,5-b]pyridine-5-carboxylic acid (I) (compound 130a, table C2, page 68; example 17, page 177; claim 156, page 212) are specifically claimed. A Markush structure is presented (claim 1, page 190).",2021-11-04,WO2020CN87776,2020-04-29,2021-11-18,,
WO-2021219828,"New imidazolone derivatives as inhibitors of protein kinases in particular DYRK1A, CLK1 and/or CLK4","New substituted imidazolone derivatives are inhibitors of protein kinases in particularly DYRK1A, CLK1 and/or CLK4 - useful for treating Down syndrome, Alzheimer's disease, Parkinson's disease, osteoarthritis, and viral and unicellular infections.","New substituted imidazolone derivatives, or its salt, composition comprising them and its preparation method, is claimed. The compounds are claimed to be useful for treating Down syndrome, Alzheimer's disease, Parkinson's disease, osteoarthritis, cancers, type 1 and type 2 diabetes, viral and Influenza A, and human cytomegalovirus. The compounds are disclosed to be useful as inhibitors of protein kinases in particularly DYRK1A, CLK1 and/or CLK4.",The compounds are potent inhibitors of DYRK and CLK.,"An in vitro test was performed to determine the inhibitory activity of (I) on CLK1. (I) showed an IC50 value of ? 0.005 mM (table 4A, page 166).",,"Several substituted imidazolone derivatives are specifically claimed, including (4Z)-4-(1,3-benzothiazol-6-ylmethylene)-2-[(trans-5-hydroxy-2-adamantyl)amino]-1H-imidazol-5-one (compound 19, page 74) (I) (claim 12, page 187). A Markush structure is presented (claim 1, page 177).",2021-11-03,EP2020305421,2020-04-30,2021-11-18,,
WO-2021220759,"Method for evaluating neural action of test substance, and kit and nerve cell culture container therefor",Method for evaluating neural action of test substance - comprising measuring the linear density along the dendrites of the cultured neurons.,"A method for evaluating the neural action of a test substance is claimed, comprising culturing cultured nerve cells on the surface of a molded body composed of a norbornene-based polymer (a ring-opening polymer hydride of the norbornene-based monomer), contacting the cultured nerve cells with a test substance, immobilizing the cultured neurons, visualizing the dendrite clusters of the dendrite spines of the cultured neurons, and measuring the linear density along the dendrites of the cultured neurons, wherein the cultured nerve cells are derived from hippocampal nerve cells or rodents, and is an Alzheimer's disease model cultured nerve cell. A kit and a nerve cell culture vessel for evaluating nerve action of a test substance are claimed.","The method could evaluate the neural action of a test substance with high sensitivity, and have excellent quantitativeness and reproducibility especially in a low concentration range; and could measure activity of a small amount of a physiologically active substance.","Experiments were performed to determine changes in drebrin cluster density due to glutamate between cultured neurons derived from the hippocampus of a healthy mouse and the hippocampus of an Alzheimer's disease model mouse using a COP plate. In cultured neurons derived from the hippocampus of healthy mice, a significant decrease in drebrin clusters was observed at a glutamate concentration of 30 ?M. In AD neurons, it was found that the linear density of drebrin clusters was consistently low from the wells to which glutamic acid was not added. Hence, it was possible to trace amounts of secretory proteins such as amyloid ? contribute to the phenotypic expression of cultured neurons derived from the hippocampus of Alzheimer's disease model mice (example 1, pages 18 and 19, figure 2).",,It is claimed that the visualization is performed by immunostaining with an anti-drebrin antibody.,2021-11-04,JP202078962,2020-04-28,2021-11-23,,
WO-2021222174,Bcl-2 Inhibitors and their use as pharmaceuticals,"Novel substituted piperidyl compounds are Bcl-2 Inhibitors - useful for treating cancers, autoimmune, psychiatric and neurodegenerative diseases.","Novel substituted piperidyl compounds, their salts or solvates, compositions comprising them and their combinations with other active agents, eg lenalidomide are claimed. The compounds are claimed to be useful for inhibiting the activity of BCL-2 protein and for treating diseases, eg cancers (eg Hodgkin' s lymphoma, pancreatic, bone and skin cancers), autoimmune diseases (systemic lupus erythematosus, lupus nephritis, or Sjogren's syndrome), psychiatric disorders (schizophrenia), senescence-associated disease (atherosclerosis) and neurodegenerative diseases.",No specific advantage is given.,"An in vitro cell free Bcl-2:Bak affinity assay was performed using GST-Tag BCL proteins. Eight compounds, including (I) showed an IC50 value of < 10 nM (pages 139-141; table 6).",,"Several compounds are specifically claimed, including 2-chloro-N-[4-[4-[[2-(4-chlorophenyl)-4,4-dimethylcyclohexen-1-yl]methyl]piperazin-1-yl]-2-(1H-pyrrolo[2,3-b]pyridin-5-yloxy)phenyl]sulfonyl-3-methyl-5-nitro-4-(oxan-4-ylmethylamino)benzamide (I) (example 80, page 129; claim 50, page 163). A Markush structure is presented (claim 1, page 142).",2021-11-04,US202016643,2020-04-28,2021-11-18,,
WO-2021222507,Compositions and methods of promoting myelination,Method of increasing myelination of an axon - comprising contacting oligodendrocyte progenitor cell in the presence of axon with agent that inhibits GPR17.,"A method of increasing myelination of an axon, comprising contacting an oligodendrocyte progenitor cell (OPC) in the presence of an axon with an agent that inhibits GPR17 and/or agent that ablates and/or inhibits an activated microglia, or inhibits TNF? Receptor 2 or TNF?, thereby increasing myelination of the axon are claimed. A method of increasing OPC number and/or differentiation is also claimed. A method of treating a subject having a disease or injury associated with myelination failure is also claimed, where the subject has multiple sclerosis, leukodystrophy (eg adrenoleukodystrophy, alexander disease, canavan disease and Krabbe disease), Alzheimers disease, traumatic brain injury, spinal cord injury, or optic nerve injury. A composition and a method of identifying a compound that elicits differentiation of oligodendrocyte or an oligodendrocyte precursor cell is claimed. The PLX-3397 is known to acts as SL cytokine ligand inhibitor; CSF-1 antagonist; Flt3 tyrosine kinase inhibitor; Kit tyrosine kinase inhibitor, and Montelukast is known to acts as Leukotriene D4 antagonist.",The method increases the number of CC1 and/or Oligol positive OPCs.,"An in vivo study was performed to determine the effect of combinatorial treatment of (I) and (II) on robust myelination regenerated axons. The results showed that the combined treatment dramatically increased the numbers of CC1+ RTM+ double positive cells and the majority of these CC1+ cells had cytoplasmic Oligol, supporting the notion that this combinatorial treatment promoted both early and late differentiation of OPCs (example 5, pages 36, 37, figure 4A-4C).",,"Six agents including PLX-3397 (I; page 18, claim 6, page 45), and montelukast (II; pages 20 and 21, claim 12, page 46) are specifically claimed for use.",2021-11-04,US202018939,2020-05-01,2021-11-23,,
