raw_compound_id,name
rawcompound_150-d-4,150-D-4
rawcompound_a-19006,A-19006
rawcompound_nh-k-a-19006,NH-K-A-19006
rawcompound_montelukast,Montelukast
rawcompound_pexidartinib,pexidartinib
rawcompound_pranlukast,pranlukast
rawcompound_plx-3397,PLX-3397
rawcompound_nm-152,NM-152
rawcompound_bethanechol,Bethanechol
rawcompound_ro-7248824,RO-7248824
rawcompound_aducanumab,aducanumab
rawcompound_nch-51,NCH-51
rawcompound_psilocin-benzoate,Psilocin-Benzoate
rawcompound_donepezil,donepezil
rawcompound_lenrispodun_phosphate,lenrispodun phosphate
rawcompound_lenrispodun-monophosphate,Lenrispodun-Monophosphate
rawcompound_mmb-11903-b,MMB-11903-B
rawcompound_bigi-bih-d-8,BIGI-BIH-D-8
rawcompound_bigi-3-h,BIGI-3-h
rawcompound_bigi-21,BIGI-21
rawcompound_fezolinetant,fezolinetant
rawcompound_fezolinetant-xinafoate,Fezolinetant-Xinafoate
rawcompound_biib-113,BIIB-113
rawcompound_pterostilbene,Pterostilbene
rawcompound_gabapentin,gabapentin
rawcompound_superoxide_dismutase,Superoxide dismutase
rawcompound_cyb-2108-d,CYB-2108-D
rawcompound_cariprazine,cariprazine
rawcompound_cariprazine-pamoate,Cariprazine-Pamoate
rawcompound_methoxyamine,Methoxyamine
rawcompound_pimagedine,pimagedine
rawcompound_obeticholate,Obeticholate
rawcompound_tt-702,TT-702
rawcompound_ciprofloxacin,ciprofloxacin
rawcompound_levofloxacin,Levofloxacin
rawcompound_nx-64-3,NX-64-3
rawcompound_ulotaront,ulotaront
rawcompound_sep-363856-fumarate,SEP-363856-Fumarate
rawcompound_none-given,None-Given
rawcompound_vorinostat,Vorinostat
rawcompound_sb-1617,SB-1617
rawcompound_rebamipide,Rebamipide
rawcompound_l-4-chlorokynurenine,L-4-chlorokynurenine
rawcompound_chlorokynurenine,Chlorokynurenine
rawcompound_5-meo-dmt,5-MeO-DMT
rawcompound_aaz-a-154,AAZ-A-154
rawcompound_pw-0781,PW-0781
rawcompound_alaproclate,Alaproclate
rawcompound_a-03,A-03
rawcompound_gen1e-1124,GeN1e-1124
rawcompound_cdd-1487,CDD-1487
rawcompound_18f-jhu-16907,18F-JHU-16907
rawcompound_kds12025,KDS12025
rawcompound_trv-250,TRV-250
rawcompound_trv-250_subcutaneous_episodic_migraine_trevena,"TRV-250 (subcutaneous, episodic migraine), Trevena"
rawcompound_donepezil-ether-palmitate,Donepezil-Ether-Palmitate
rawcompound_caffeine,Caffeine
rawcompound_iclepertin,Iclepertin
rawcompound_sr-57227a,SR-57227A
rawcompound_sg-001,SG-001
rawcompound_sr-32688,SR-32688
rawcompound_sting_antagonists_inflammatory_autoimmune_diseases_ifm_due_novartis,"STING antagonists (inflammatory/autoimmune diseases), IFM Due/ Novartis"
rawcompound_seltorexant,seltorexant
rawcompound_rrx-001,RRX-001
rawcompound_aripiprazole,aripiprazole
rawcompound_alpha-1062_oral,"Alpha-1062, oral"
rawcompound_alpha-1062-gluconate,Alpha-1062-Gluconate
rawcompound_sr-35729,SR-35729
rawcompound_bk-50118-c,BK-50118-C
rawcompound_buprenorphine,Buprenorphine
rawcompound_clozapine,clozapine
rawcompound_diazepam,diazepam
rawcompound_sr-30010,SR-30010
rawcompound_nicotinamide,nicotinamide
rawcompound_jmm-001,JMM-001
rawcompound_hn-1703,HN-1703
rawcompound_tideglusib,tideglusib
rawcompound_tideglusib-proline,Tideglusib-Proline
rawcompound_ns-1738,NS-1738
rawcompound_doconexent,doconexent
rawcompound_docosahexaenoate,Docosahexaenoate
rawcompound_rtioxa-47,RTIOXA-47
