raw_target_action_id,name,action_type,stripped_target_candidate
rawtarget_synuclein_alpha_modulator,Synuclein alpha modulator,modulator,Synuclein alpha
rawtarget_superoxide_dismutase_stimulator,Superoxide dismutase stimulator,stimulator,Superoxide dismutase
rawtarget_beta_amyloid_modulator,Beta amyloid modulator,modulator,Beta amyloid
rawtarget_tau_protein_modulator,Tau protein modulator,protein modulator;modulator,Tau
rawtarget_huntingtin_modulator,Huntingtin modulator,modulator,Huntingtin
rawtarget_cd73_antagonist,CD73 antagonist,antagonist;agonist,CD73
rawtarget_muscarinic_m4_receptor_antagonist,Muscarinic M4 receptor antagonist,receptor antagonist;antagonist;agonist,Muscarinic M4
rawtarget_epha4_tyrosine_kinase_receptor_stimulator,Epha4 tyrosine kinase receptor stimulator,stimulator,Epha4 tyrosine kinase receptor
rawtarget_5-ht_2c_receptor_modulator,5-HT 2c receptor modulator,modulator,5-HT 2c receptor
rawtarget_5-ht_2a_receptor_modulator,5-HT 2a receptor modulator,modulator,5-HT 2a receptor
rawtarget_glucagon-like_peptide_1_receptor_agonist,Glucagon-like peptide 1 receptor agonist,receptor agonist;agonist,Glucagon-like peptide 1
rawtarget_insulin_receptor_agonist,Insulin receptor agonist,receptor agonist;agonist,Insulin
rawtarget_clk4_protein_kinase_inhibitor,CLK4 protein kinase inhibitor,protein kinase inhibitor;kinase inhibitor;inhibitor,CLK4
rawtarget_clk1_protein_kinase_inhibitor,CLK1 protein kinase inhibitor,protein kinase inhibitor;kinase inhibitor;inhibitor,CLK1
rawtarget_dyrk-1_alpha_protein_kinase_inhibitor,DYRK-1 alpha protein kinase inhibitor,protein kinase inhibitor;kinase inhibitor;inhibitor,DYRK-1 alpha
rawtarget_drebrin_modulator,Drebrin modulator,modulator,Drebrin
rawtarget_bcl-2_protein_inhibitor,Bcl-2 protein inhibitor,inhibitor,Bcl-2 protein
rawtarget_flt3_tyrosine_kinase_inhibitor,Flt3 tyrosine kinase inhibitor,kinase inhibitor;inhibitor,Flt3 tyrosine
rawtarget_leukotriene_d4_antagonist,Leukotriene D4 antagonist,antagonist;agonist,Leukotriene D4
rawtarget_kit_tyrosine_kinase_inhibitor,Kit tyrosine kinase inhibitor,kinase inhibitor;inhibitor,Kit tyrosine
rawtarget_sl_cytokine_ligand_inhibitor,SL cytokine ligand inhibitor,ligand inhibitor;inhibitor,SL cytokine
rawtarget_csf-1_antagonist,CSF-1 antagonist,antagonist;agonist,CSF-1
rawtarget_gpr17_gene_modulator,GPR17 gene modulator,gene modulator;modulator,GPR17
rawtarget_trkb_receptor_agonist,TrkB receptor agonist,receptor agonist;agonist,TrkB
rawtarget_lysine-specific_demethylase_5b_inhibitor,Lysine-specific demethylase 5B inhibitor,inhibitor,Lysine-specific demethylase 5B
rawtarget_g_protein_coupled_receptor_139_agonist,G protein coupled receptor 139 agonist,agonist,G protein coupled receptor 139
rawtarget_non_lysosomal_glucosylceramidase_inhibitor,Non lysosomal glucosylceramidase inhibitor,inhibitor,Non lysosomal glucosylceramidase
rawtarget_tnf_alpha_ligand_inhibitor,TNF alpha ligand inhibitor,ligand inhibitor;inhibitor,TNF alpha
rawtarget_tlr-9_antagonist,TLR-9 antagonist,antagonist;agonist,TLR-9
rawtarget_tlr-7_antagonist,TLR-7 antagonist,antagonist;agonist,TLR-7
rawtarget_trem_receptor_2_antagonist,TREM receptor 2 antagonist,antagonist;agonist,TREM receptor 2
rawtarget_5-ht_2b_receptor_antagonist,5-HT 2b receptor antagonist,receptor antagonist;antagonist;agonist,5-HT 2b
rawtarget_opioid_receptor_sigma_antagonist_1,Opioid receptor sigma antagonist 1,antagonist;agonist,Opioid receptor sigma 1
rawtarget_5-ht_2a_receptor_antagonist,5-HT 2a receptor antagonist,receptor antagonist;antagonist;agonist,5-HT 2a
rawtarget_5-ht_1b_receptor_antagonist,5-HT 1b receptor antagonist,receptor antagonist;antagonist;agonist,5-HT 1b
rawtarget_glucocorticoid_receptor_antagonist,Glucocorticoid receptor antagonist,receptor antagonist;antagonist;agonist,Glucocorticoid
rawtarget_maxi_k_potassium_channel_stimulator,Maxi K potassium channel stimulator,stimulator,Maxi K potassium channel
rawtarget_amyloid_protein_deposition_inhibitor,Amyloid protein deposition inhibitor,deposition inhibitor;inhibitor,Amyloid protein
rawtarget_beta_secretase_1_inhibitor,Beta secretase 1 inhibitor,inhibitor,Beta secretase 1
rawtarget_cholinesterase_inhibitor,Cholinesterase inhibitor,inhibitor,Cholinesterase
rawtarget_5-ht_2a_receptor_agonist,5-HT 2a receptor agonist,receptor agonist;agonist,5-HT 2a
rawtarget_acetylcholinesterase_stimulator,Acetylcholinesterase stimulator,stimulator,Acetylcholinesterase
rawtarget_amyloid_like_protein_1_modulator,Amyloid like protein 1 modulator,modulator,Amyloid like protein 1
rawtarget_epoxide_hydrolase-2_inhibitor,Epoxide hydrolase-2 inhibitor,inhibitor,Epoxide hydrolase-2
rawtarget_dopamine_d2_receptor_antagonist,Dopamine D2 receptor antagonist,receptor antagonist;antagonist;agonist,Dopamine D2
rawtarget_dopamine_d3_receptor_antagonist,Dopamine D3 receptor antagonist,receptor antagonist;antagonist;agonist,Dopamine D3
rawtarget_rip-1_kinase_inhibitor,RIP-1 kinase inhibitor,kinase inhibitor;inhibitor,RIP-1
rawtarget_muscarinic_receptor_antagonist,Muscarinic receptor antagonist,receptor antagonist;antagonist;agonist,Muscarinic
rawtarget_t_cell_receptor_modulator,T cell receptor modulator,modulator,T cell receptor
rawtarget_spp1_gene_modulator,SPP1 gene modulator,gene modulator;modulator,SPP1
rawtarget_osteopontin_ligand_modulator,Osteopontin ligand modulator,ligand modulator;modulator,Osteopontin
rawtarget_fyve_finger_phosphoinositide_kinase_inhibitor,FYVE finger phosphoinositide kinase inhibitor,kinase inhibitor;inhibitor,FYVE finger phosphoinositide
rawtarget_thyroid_hormone_receptor_beta_agonist,Thyroid hormone receptor beta agonist,agonist,Thyroid hormone receptor beta
rawtarget_thyroid_hormone_receptor_alpha_agonist,Thyroid hormone receptor alpha agonist,agonist,Thyroid hormone receptor alpha
