source_id,name
source_cns_patents_20211031-20211113_xlsx,CNS patents 20211031-20211113.xlsx
source_cns_patents_20211205-20211218_xlsx,CNS patents 20211205-20211218.xlsx
source_cns_patents_20220424-20220430_xlsx,CNS patents 20220424-20220430.xlsx
source_copy_of_cns_patents_20211121-20211204_xlsx,Copy of CNS patents 20211121-20211204.xlsx
source_copy_of_cns_patents_20211219-20211225_xlsx,Copy of CNS patents 20211219-20211225.xlsx
source_copy_of_cns_patents_20211226-20220101_xlsx,Copy of CNS patents 20211226-20220101.xlsx
source_copy_of_cns_patents_20220130-20220212_xlsx,Copy of CNS patents 20220130-20220212.xlsx
source_copy_of_cns_patents_20220213-20220219_xlsx,Copy of CNS patents 20220213-20220219.xlsx
source_copy_of_cns_patents_20220220-20220226_xlsx,Copy of CNS patents 20220220-20220226.xlsx
source_copy_of_cns_patents_20220227-20220305_xlsx,Copy of CNS patents 20220227-20220305.xlsx
source_copy_of_cns_patents_20220306-20220312_xlsx,Copy of CNS patents 20220306-20220312.xlsx
source_copy_of_cns_patents_20220320-20220326_xlsx,Copy of CNS patents 20220320-20220326.xlsx
source_copy_of_cns_patents_20220327-20220409_xlsx,Copy of CNS patents 20220327-20220409.xlsx
source_copy_of_cns_patents_20220410-20220423_xlsx,Copy of CNS patents 20220410-20220423.xlsx
source_copy_of_cns_patents_20220501-20220507_xlsx,Copy of CNS patents 20220501-20220507.xlsx
source_copy_of_cns_patents_20220508-20220521_xlsx,Copy of CNS patents 20220508-20220521.xlsx
source_copy_of_cns_patents_20220522-20220604_xlsx,Copy of CNS patents 20220522-20220604.xlsx
source_copy_of_cns_patents_20220605-20220611_xlsx,Copy of CNS patents 20220605-20220611.xlsx
source_copy_of_cns_patents_20220612-20220618_xlsx,Copy of CNS patents 20220612-20220618.xlsx
source_copy_of_cns_patents_20220619-20220702_xlsx,Copy of CNS patents 20220619-20220702.xlsx
source_copy_of_cns_patents_20220703-20220716_xlsx,Copy of CNS patents 20220703-20220716.xlsx
source_copy_of_cns_patents_20220717-20220730_xlsx,Copy of CNS patents 20220717-20220730.xlsx
source_copy_of_cns_patents_20220731-20220813_xlsx,Copy of CNS patents 20220731-20220813.xlsx
source_copy_of_cns_patents_20220814-20220827_xlsx,Copy of CNS patents 20220814-20220827.xlsx
source_copy_of_cns_patents_20220828-20220903_xlsx,Copy of CNS patents 20220828-20220903.xlsx
source_copy_of_cns_patents_20220904-20220917_xlsx,Copy of CNS patents 20220904-20220917.xlsx
source_copy_of_cns_patents_20220918-20221001_xlsx,Copy of CNS patents 20220918-20221001.xlsx
source_copy_of_cns_patents_20221002-20221008_xlsx,Copy of CNS patents 20221002-20221008.xlsx
source_copy_of_cns_patents_20221105-20221112_xlsx,Copy of CNS patents 20221105-20221112.xlsx
source_copy_of_cns_patents_20221113-20221126_xlsx,Copy of CNS patents 20221113-20221126.xlsx
source_copy_of_cns_patents_20221127-20221203_xlsx,Copy of CNS patents 20221127-20221203.xlsx
source_copy_of_cns_patents_20221225-20221231_xlsx,Copy of CNS patents 20221225-20221231.xlsx
source_copy_of_cns_patents_20230101-20230107_xlsx,Copy of CNS patents 20230101-20230107.xlsx
source_copy_of_cns_patents_20230115-20230121_xlsx,Copy of CNS patents 20230115-20230121.xlsx
source_copy_of_cns_patents_20230122-20230204_xlsx,Copy of CNS patents 20230122-20230204.xlsx
source_copy_of_cns_patents_20230205-20230211_xlsx,Copy of CNS patents 20230205-20230211.xlsx
source_copy_of_cns_patents_20230212-20230218_xlsx,Copy of CNS patents 20230212-20230218.xlsx
source_copy_of_cns_patents_20230219-20230225_xlsx,Copy of CNS patents 20230219-20230225.xlsx
source_copy_of_cns_patents_20230226-20230304_xlsx,Copy of CNS patents 20230226-20230304.xlsx
source_copy_of_cns_patents_20230305-20230311_xlsx,Copy of CNS patents 20230305-20230311.xlsx
source_copy_of_cns_patents_20230312-20230318_xlsx,Copy of CNS patents 20230312-20230318.xlsx
source_copy_of_cns_patents_20230326-20230408_xlsx,Copy of CNS patents 20230326-20230408.xlsx
source_copy_of_cns_patents_20230409-20230415_xlsx,Copy of CNS patents 20230409-20230415.xlsx
source_copy_of_cns_patents_20230416-20230422_xlsx,Copy of CNS patents 20230416-20230422.xlsx
source_copy_of_cns_patents_20230423-20230429_xlsx,Copy of CNS patents 20230423-20230429.xlsx
source_copy_of_cns_patents_20230430-20230506_xlsx,Copy of CNS patents 20230430-20230506.xlsx
source_copy_of_cns_patents_20230507-20230513_xlsx,Copy of CNS patents 20230507-20230513.xlsx
source_copy_of_cns_patents_20230514-20230527_xlsx,Copy of CNS patents 20230514-20230527.xlsx
source_copy_of_cns_patents_20230618-20230624_xlsx,Copy of CNS patents 20230618-20230624.xlsx
source_copy_of_cns_patents_20230625-20230708_xlsx,Copy of CNS patents 20230625-20230708.xlsx
source_copy_of_cns_patents_20230709-20230729_xlsx,Copy of CNS patents 20230709-20230729.xlsx
source_copy_of_cns_patents_20230806-20230812_xlsx,Copy of CNS patents 20230806-20230812.xlsx
source_copy_of_cns_patents_20230813-20230819_xlsx,Copy of CNS patents 20230813-20230819.xlsx
source_copy_of_cns_patents_20230820-20230826_xlsx,Copy of CNS patents 20230820-20230826.xlsx
source_copy_of_cns_patents_20230827-20230902_xlsx,Copy of CNS patents 20230827-20230902.xlsx
