target_id,symbol_or_name,display_name,target_class,patent_count,disease_breadth,company_mentions,compound_patent_count,bio_data_count,potency_data_count,in_vivo_count,bbb_pk_count,earliest_year,latest_year,target_identification_weight_0_100
target_snca,SNCA,alpha-synuclein,protein_aggregation,47,332,58,8,36,7,17,16,2021.0,2026.0,78.0
target_superoxide_dismutase,Superoxide dismutase,Superoxide dismutase,unspecified,4,18,4,2,1,0,1,1,2021.0,2024.0,34.2
target_app_aβ,APP/Aβ,Amyloid beta / APP pathway,protein_aggregation,40,247,49,6,29,2,21,6,2021.0,2026.0,74.2
target_mapt,MAPT,Tau protein,protein_aggregation,55,374,71,11,44,9,26,14,2021.0,2026.0,81.2
target_huntingtin,Huntingtin,Huntingtin,unspecified,21,86,26,5,19,9,7,3,2021.0,2026.0,65.3
target_nt5e,NT5E,CD73 / NT5E,receptor,2,21,3,0,2,2,0,0,2021.0,2025.0,32.4
target_muscarinic_m4,Muscarinic M4,Muscarinic M4,unspecified,20,171,21,2,20,9,12,6,2021.0,2026.0,65.8
target_epha4,EPHA4,EPHA4,kinase,1,11,2,1,1,0,0,0,2021.0,2021.0,16.9
target_htr2c,HTR2C,5-HT2C receptor,receptor,38,332,42,7,37,11,26,11,2021.0,2026.0,77.1
target_htr2a,HTR2A,5-HT2A receptor,receptor,150,1297,185,31,147,48,106,41,2021.0,2026.0,100.0
target_glp1r,GLP1R,GLP-1 receptor,receptor,38,392,52,2,39,19,21,20,2021.0,2026.0,75.7
target_insulin,Insulin,Insulin,unspecified,3,33,3,0,3,2,2,1,2021.0,2026.0,39.9
target_clk4,CLK4,CLK4,unspecified,9,92,12,1,9,8,1,1,2021.0,2026.0,54.6
target_clk1,CLK1,CLK1,unspecified,9,92,11,0,9,8,1,1,2021.0,2026.0,52.5
target_dyrk1a,DYRK1A,DYRK1A,kinase,25,238,34,0,25,24,4,0,2019.0,2026.0,66.0
target_drebrin,Drebrin,Drebrin,unspecified,2,6,3,0,0,0,1,0,2021.0,2021.0,16.3
target_bcl2,BCL2,BCL2,unspecified,8,69,9,0,8,7,1,3,2021.0,2025.0,48.9
target_flt3_tyrosine,Flt3 tyrosine,Flt3 tyrosine,unspecified,5,44,5,2,4,3,1,0,2021.0,2024.0,42.4
target_leukotriene_d4,Leukotriene D4,Leukotriene D4,unspecified,1,10,1,1,1,0,1,0,2021.0,2021.0,18.7
target_kit_tyrosine,Kit tyrosine,Kit tyrosine,unspecified,6,56,6,2,5,3,2,2,2021.0,2025.0,47.6
target_sl_cytokine,SL cytokine,SL cytokine,unspecified,1,10,1,1,1,0,1,0,2021.0,2021.0,18.7
target_csf1r,CSF1R,CSF1R,inflammatory_pathway,11,107,12,5,8,7,3,2,2021.0,2025.0,57.3
target_gpr17,GPR17,GPR17,unspecified,1,10,1,1,1,0,1,0,2021.0,2021.0,18.7
target_ntrk2,NTRK2,TrkB / NTRK2,receptor,4,33,4,0,4,0,4,1,2021.0,2026.0,41.4
target_kdm5b,KDM5B,KDM5B,enzyme,3,22,4,0,3,2,2,1,2021.0,2023.0,33.0
target_gpr139,GPR139,GPR139,unspecified,10,96,12,5,11,4,5,3,2021.0,2025.0,56.9
target_gba2,GBA2,GBA2,enzyme,1,10,1,0,1,1,0,1,2021.0,2021.0,18.4
target_tnf,TNF,TNF,inflammatory_pathway,28,271,35,3,26,12,14,4,2021.0,2026.0,70.9
target_tlr9,TLR9,TLR9,inflammatory_pathway,2,20,2,0,2,1,0,0,2021.0,2022.0,24.6
target_tlr7,TLR7,TLR7,inflammatory_pathway,1,10,1,0,1,1,0,0,2021.0,2021.0,17.1
target_trem2,TREM2,TREM2,receptor,23,192,30,0,22,20,3,4,2021.0,2026.0,64.4
target_htr2b,HTR2B,HTR2B,receptor,32,280,39,11,27,5,21,7,2021.0,2026.0,75.1
target_opioid_receptor_sigma_1,Opioid receptor sigma 1,Opioid receptor sigma 1,unspecified,10,82,12,3,7,1,4,5,2021.0,2025.0,53.6
target_htr1b,HTR1B,HTR1B,receptor,11,86,12,5,9,3,8,0,2021.0,2025.0,56.5
target_glucocorticoid,Glucocorticoid,Glucocorticoid,unspecified,6,42,6,1,5,3,2,1,2021.0,2023.0,41.3
target_maxi_k_potassium_channel,Maxi K potassium channel,Maxi K potassium channel,unspecified,2,20,2,0,1,0,0,1,2021.0,2025.0,28.5
target_amyloid_protein,Amyloid protein,Amyloid protein,unspecified,14,78,16,5,8,2,7,2,2021.0,2026.0,59.3
target_bace1,BACE1,BACE1,enzyme,2,9,2,0,2,1,1,0,2021.0,2023.0,25.7
target_ache_bche,ACHE/BCHE,ACHE/BCHE,unspecified,11,38,15,2,8,6,2,1,2021.0,2026.0,53.8
target_ache,ACHE,ACHE,enzyme,22,89,32,11,10,4,6,2,2021.0,2026.0,65.1
target_ephx2,EPHX2,EPHX2,enzyme,6,44,7,2,5,3,3,2,2021.0,2025.0,47.5
target_drd2,DRD2,DRD2,receptor,27,215,38,12,25,7,22,10,2021.0,2026.0,74.1
target_drd3,DRD3,DRD3,receptor,15,124,27,6,17,6,12,9,2021.0,2025.0,63.8
target_ripk1,RIPK1,RIPK1,kinase,38,372,54,3,35,25,14,15,2021.0,2026.0,76.0
target_muscarinic,Muscarinic,Muscarinic,unspecified,7,66,7,2,6,5,6,0,2021.0,2024.0,48.8
target_t_cell_receptor,T cell receptor,T cell receptor,unspecified,1,6,1,1,1,0,1,0,2021.0,2021.0,17.5
target_spp1,SPP1,SPP1,unspecified,1,6,1,0,1,0,1,0,2021.0,2021.0,15.5
target_osteopontin,Osteopontin,Osteopontin,unspecified,2,8,2,1,1,0,2,0,2021.0,2025.0,30.2
target_fyve_finger_phosphoinositide,FYVE finger phosphoinositide,FYVE finger phosphoinositide,unspecified,7,61,7,1,6,4,0,0,2021.0,2024.0,44.7
target_thyroid_hormone_receptor_beta,Thyroid hormone receptor beta,Thyroid hormone receptor beta,unspecified,5,51,5,0,5,5,1,1,2021.0,2024.0,41.5
target_thyroid_hormone_receptor_alpha,Thyroid hormone receptor alpha,Thyroid hormone receptor alpha,unspecified,2,21,2,0,2,2,1,0,2021.0,2021.0,25.1
target_beta_adrenoceptor,Beta adrenoceptor,Beta adrenoceptor,unspecified,2,20,2,0,1,1,0,0,2021.0,2023.0,25.3
target_beta_2_adrenoceptor,Beta 2 adrenoceptor,Beta 2 adrenoceptor,unspecified,3,30,3,0,2,0,1,1,2021.0,2024.0,32.1
target_beta_1_adrenoceptor,Beta 1 adrenoceptor,Beta 1 adrenoceptor,unspecified,2,20,2,0,1,0,0,1,2021.0,2022.0,22.5
target_atxn3,ATXN3,ATXN3,unspecified,1,3,1,1,1,0,1,0,2021.0,2021.0,15.9
target_ube3a,UBE3A,UBE3A,unspecified,2,5,3,2,1,0,2,0,2021.0,2023.0,26.5
target_atxn2,ATXN2,ATXN2,unspecified,1,3,1,1,1,0,1,0,2021.0,2021.0,15.9
target_cacna1c,CACNA1C,CACNA1C,ion_channel,3,24,3,0,3,0,3,0,2021.0,2023.0,31.5
target_fos_related_antigen,Fos related antigen,Fos related antigen,unspecified,1,10,1,0,1,0,1,0,2021.0,2021.0,16.7
target_apolipoprotein_e4,Apolipoprotein E4,Apolipoprotein E4,unspecified,1,3,1,1,1,0,1,0,2022.0,2022.0,17.9
target_apolipoprotein_e3,Apolipoprotein E3,Apolipoprotein E3,unspecified,1,3,1,1,1,0,1,0,2022.0,2022.0,17.9
target_scn2a,SCN2A,SCN2A,unspecified,2,6,2,1,2,0,2,0,2022.0,2023.0,26.5
target_gabbr2,GABBR2,GABBR2,unspecified,1,1,1,1,1,0,1,0,2022.0,2022.0,16.0
target_v-type_proton_atpase,V-type proton ATPase,V-type proton ATPase,unspecified,1,1,1,1,1,0,1,0,2022.0,2022.0,16.0
target_gabra1,GABRA1,GABRA1,unspecified,1,1,1,1,1,0,1,0,2022.0,2022.0,16.0
